Player,Site,Hands,VPIP,PFR,CC,Limp nSB,3Bet nAI,F3Bet,WTSD no AI%,WWSF no AI,WS HU,LS HU,WN HU,LN HU,Bet R HU,Fold to R Bet HU,All-In Adj BB/100,EV -60bb,NonSD,BB Won,Cluster
Momentum288,888 Poker,196011,20.85,15.16,4.75,0.04,6.87,43.81,30.34,42.38,19.28,12.61,30.23,37.89,29.0,55.07,8.17,4.59,-15.42,11581.86,7
TOMA188288,888 Poker,185932,24.55,15.87,11.4,0.8,4.59,30.72,32.48,42.76,17.21,15.08,34.4,33.31,36.18,52.28,5.46,3.93,-14.83,6433.06,7
davcab92,888 Poker,167667,22.99,16.36,5.88,0.56,5.74,54.71,26.76,40.42,16.03,11.38,30.77,41.82,34.72,66.9,5.36,4.61,-17.22,6616.24,16
bluffing420s,888 Poker,167339,21.56,14.04,9.61,0.38,3.52,47.99,27.34,39.69,17.4,11.96,30.39,40.25,40.8,58.23,3.2,2.15,-16.82,3999.17,16
LaserMammoth,888 Poker,153178,25.95,16.81,13.04,0.24,4.49,47.27,24.91,40.44,13.14,11.62,36.74,38.5,36.05,64.06,2.84,1.8,-15.43,2261.98,10
Elquelele,888 Poker,150198,21.37,14.53,8.19,0.24,4.16,41.15,26.3,41.39,14.44,12.46,34.34,38.77,40.31,62.0,1.54,1.91,-12.95,-554.53,10
Lendario99,888 Poker,144781,34.81,24.19,16.63,1.33,7.79,36.55,32.16,46.4,16.17,16.32,38.62,28.88,50.41,43.61,10.95,11.52,6.82,13875.04,4
DXforce,888 Poker,139290,23.51,14.23,11.66,0.05,2.93,46.28,24.62,37.87,14.28,11.27,31.03,43.43,42.12,57.33,5.29,2.64,-16.51,7257.42,16
KvazaR.V,888 Poker,128452,23.35,17.62,5.36,0.47,5.62,41.44,27.96,49.19,14.3,14.55,43.91,27.24,46.17,41.05,11.98,8.3,2.67,15136.94,0
xxtomasxx,888 Poker,123361,22.87,13.41,10.02,0.57,3.79,40.46,26.46,41.79,13.88,12.59,35.97,37.55,38.85,61.37,5.04,0.41,-10.82,5469.11,18
Nieudacznik3,888 Poker,120923,15.98,10.23,6.31,1.53,3.03,39.18,34.4,45.11,20.77,15.3,33.56,30.37,36.42,44.97,1.4,1.58,-14.7,525.81,14
goldskill,888 Poker,119806,20.65,13.95,5.11,0.26,4.32,49.85,25.43,41.31,15.72,10.67,31.21,42.39,34.31,59.38,5.72,5.31,-14.97,7193.81,16
Ch1k1t1n,888 Poker,116411,31.43,20.35,18.96,0.97,5.13,52.05,26.78,43.65,14.58,12.91,38.34,34.17,49.92,49.68,11.73,9.74,-7.94,11062.75,5
Getoverhere,888 Poker,114278,18.45,13.64,5.64,0.22,2.66,57.75,26.37,41.31,16.59,10.34,32.89,40.19,25.66,58.96,2.38,4.31,-16.07,2235.81,16
Gliga.86,888 Poker,109760,19.24,13.57,6.67,0.16,4.59,42.56,26.94,42.13,14.93,12.19,36.61,36.27,43.7,50.7,9.51,6.4,-14.59,9950.46,18
0doubt,888 Poker,108774,24.21,15.85,10.78,0.05,3.63,43.43,26.25,38.44,14.53,11.6,33.25,40.62,26.83,55.83,8.75,2.99,-17.01,9785.65,10
Gelo420,888 Poker,105767,17.68,12.87,3.72,0.15,2.56,30.36,31.67,42.74,17.88,14.2,34.17,33.75,43.89,40.21,5.63,3.52,-8.79,4111.17,18
j23winsit,888 Poker,104613,16.31,11.8,4.48,0.63,1.88,41.85,28.25,37.72,17.05,11.56,27.55,43.84,36.24,49.21,-0.94,-0.87,-18.26,-1569.35,1
turufutpok,888 Poker,102501,22.33,15.65,5.64,0.06,5.23,53.74,26.76,40.86,16.89,11.67,32.11,39.33,32.63,57.37,5.87,2.83,-16.8,7250.11,10
JGX81,888 Poker,101309,27.0,17.3,9.52,0.05,4.07,40.03,29.27,45.36,14.02,13.58,40.99,31.41,37.66,56.66,13.26,7.83,-8.63,12727.34,0
PoFFiNHo,888 Poker,101082,25.22,18.79,6.76,0.11,6.31,40.81,29.59,53.1,13.59,15.8,46.54,24.07,55.33,44.47,9.79,9.42,6.6,9959.89,4
MackTwo2,888 Poker,95472,23.31,16.92,8.55,0.04,4.77,50.0,23.1,44.46,12.81,9.69,36.46,41.04,33.31,70.02,7.18,3.89,-14.6,5784.72,16
Villon7,888 Poker,94919,21.18,14.98,6.99,0.09,3.42,51.88,28.2,43.19,17.36,12.12,34.52,36.01,36.86,50.33,5.36,3.5,-15.41,3018.98,7
G.Prestess,888 Poker,94015,25.23,17.11,7.9,0.07,6.81,48.26,25.28,43.41,13.88,11.37,36.75,38.0,40.7,59.47,9.56,5.33,-13.95,8968.3,3
DoomsDayF,888 Poker,93376,24.19,15.97,9.54,0.11,4.58,41.52,27.66,43.44,15.48,13.26,36.12,35.14,40.09,51.82,9.58,8.47,-8.72,7377.08,7
MrYoungShark,888 Poker,92982,21.86,16.31,5.82,0.21,3.67,38.48,32.37,45.76,16.9,16.08,34.52,32.5,38.4,31.95,3.8,3.25,-2.77,1486.21,7
juananklam,888 Poker,92214,25.54,17.73,9.83,0.79,5.78,35.23,29.42,45.6,15.07,15.41,38.83,30.7,41.28,46.46,6.85,3.74,-0.5,5717.73,0
PashaPushu,888 Poker,91910,23.21,16.82,4.32,0.23,6.78,46.74,27.12,44.35,15.32,12.84,40.7,31.14,33.61,50.48,13.08,8.03,-5.16,13785.17,0
Graf93,888 Poker,91813,26.46,16.54,9.47,0.3,5.24,57.48,25.47,39.12,15.48,11.47,31.61,41.45,31.14,60.45,10.04,7.46,-18.25,9199.84,10
silviuprg,888 Poker,89776,26.01,18.91,8.2,0.72,5.59,49.79,28.26,47.49,15.84,12.92,38.8,32.44,50.39,47.26,10.83,9.36,-6.09,10029.5,0
NitMare,888 Poker,87932,26.97,21.39,7.51,0.17,7.85,59.05,24.51,43.06,13.34,11.06,38.12,37.48,42.06,60.16,10.38,6.89,-13.23,8076.63,3
HAKUSHO22,888 Poker,85757,24.22,16.06,6.65,0.16,4.81,57.21,24.48,42.8,13.67,11.17,37.21,37.95,43.44,57.63,14.44,4.4,-10.71,11623.62,3
c.gama_poker,888 Poker,85285,23.92,17.14,7.04,0.21,5.84,57.71,27.04,41.99,15.27,12.54,33.1,39.09,33.79,58.26,3.88,2.77,-14.09,2031.3,10
ssslavosss,888 Poker,85222,28.7,19.95,12.96,0.63,5.56,54.25,26.63,39.66,14.8,12.72,33.2,39.28,29.36,59.81,7.64,5.52,-14.74,6197.64,10
vadovauju,888 Poker,84188,19.45,13.29,5.71,0.24,4.2,46.24,26.25,43.17,16.31,10.67,33.23,39.79,38.71,55.71,5.73,4.72,-13.88,3127.73,16
LendaFlavio,888 Poker,83124,20.25,14.87,4.19,0.11,3.29,54.14,26.56,41.55,16.24,12.0,33.63,38.13,43.39,54.1,5.02,5.2,-13.2,4889.19,10
julinhob.91,888 Poker,82848,25.39,17.13,9.79,0.26,4.85,49.5,29.75,46.42,16.36,14.41,38.76,30.48,43.1,38.73,12.5,8.93,-4.84,8376.35,0
xrriver,888 Poker,82712,23.9,16.28,7.28,0.36,5.13,51.78,27.18,45.35,15.09,12.61,36.38,35.91,38.59,51.34,5.67,7.08,-9.16,3089.84,10
lucascostaf,888 Poker,82650,24.26,16.03,9.05,0.17,3.99,58.59,23.73,37.52,14.14,10.11,30.12,45.64,36.33,65.33,4.66,2.79,-20.28,6363.0,16
PeakyCollins,888 Poker,82634,22.59,16.61,5.82,0.13,4.67,53.84,26.12,45.83,15.36,10.86,36.27,37.51,37.69,59.62,4.95,5.52,-10.79,3829.65,10
Co1nfl1ppo,888 Poker,81873,22.1,17.99,5.17,0.07,2.76,51.51,26.23,46.25,15.14,11.45,40.28,33.13,34.36,50.27,5.69,6.01,-9.19,5396.5,0
AnglerFishy,888 Poker,81204,25.16,16.74,8.47,0.07,4.34,44.42,24.37,38.64,14.93,11.05,29.87,44.14,29.91,63.01,1.05,4.01,-19.33,-1410.19,16
brejcha,888 Poker,81084,27.17,18.43,9.11,0.7,4.97,49.9,23.95,40.1,14.62,9.93,32.49,42.96,41.22,63.79,9.52,7.36,-14.28,8080.35,16
cws33,888 Poker,80346,29.17,17.29,14.19,0.48,5.46,38.16,28.7,40.74,15.78,13.31,34.64,36.28,33.53,58.5,8.75,9.01,-12.26,6593.66,10
RaduleaD,888 Poker,80101,20.58,12.56,8.56,1.79,3.25,58.27,28.48,41.99,17.36,11.71,32.75,38.18,33.22,54.61,5.65,4.73,-22.59,2958.68,16
enix929,888 Poker,76697,30.04,21.12,11.76,0.77,6.94,36.69,31.76,48.37,15.63,15.84,42.3,26.23,46.97,38.42,13.77,9.61,2.01,9167.89,4
FrancaW,888 Poker,76376,20.27,13.99,8.89,0.28,3.66,48.69,25.65,41.99,13.22,12.84,36.2,37.74,42.9,62.45,2.43,1.28,-12.56,1305.53,18
Gretinha,888 Poker,76169,23.04,18.83,7.87,0.08,5.29,49.23,29.44,47.13,13.35,14.65,40.4,31.6,47.33,47.8,5.81,6.62,-4.92,4269.49,0
WalnutPix,888 Poker,74798,18.36,13.31,5.08,0.18,3.81,44.43,28.53,45.87,17.16,12.27,35.59,34.98,44.36,48.23,6.24,4.23,-10.37,3812.99,18
Ruminescu,888 Poker,74405,25.19,17.81,10.59,0.15,6.14,40.65,28.11,45.22,16.53,13.29,36.53,33.65,41.97,42.87,6.2,5.4,-5.65,3662.97,0
gutolpacheco,888 Poker,74401,22.29,15.3,6.35,0.3,2.34,49.33,27.9,43.84,15.38,12.72,34.25,37.65,37.55,55.35,4.61,4.08,-9.43,2150.24,10
1NutzGL,888 Poker,74339,21.34,14.98,6.53,0.11,3.84,49.32,27.87,41.39,15.38,12.5,32.48,39.64,40.01,44.53,5.14,3.77,-10.73,3380.74,7
Shootmyage,888 Poker,73814,23.25,14.17,13.39,1.19,4.94,31.55,30.82,40.14,18.15,14.98,30.21,36.66,37.39,39.81,-0.75,-0.36,-14.65,-111.19,7
whitehouse91,888 Poker,72912,23.2,16.21,5.91,0.15,4.41,57.71,24.97,43.07,13.71,11.62,37.87,36.81,36.66,60.89,9.85,6.78,-8.88,6635.86,10
Leprechas,888 Poker,72812,24.66,16.37,6.5,0.22,3.8,54.23,28.29,39.87,16.92,12.31,29.71,41.07,35.72,56.62,8.05,6.49,-18.72,5476.68,10
jbmaveric,888 Poker,72284,23.8,12.96,12.39,0.65,2.43,42.02,30.59,36.47,17.82,14.38,27.31,40.49,28.81,60.85,1.74,2.02,-26.88,1137.91,1
Cnt1108,888 Poker,71789,21.63,13.32,13.77,0.93,3.67,33.31,27.63,41.25,13.54,13.72,35.86,36.88,37.67,57.09,-5.67,-4.26,-18.5,-6258.14,18
DTFMANO18,888 Poker,71372,23.9,14.62,11.58,0.34,4.9,46.89,28.5,41.19,16.2,13.84,32.56,37.39,26.88,54.3,4.57,2.93,-16.91,3811.72,7
Nerdola1337,888 Poker,70769,22.06,16.64,4.83,0.08,5.52,51.37,26.33,47.79,13.33,12.57,40.52,33.57,50.0,47.54,3.76,3.8,-4.78,2869.84,0
AThearts,888 Poker,70589,29.87,19.95,9.9,0.2,7.55,32.77,30.04,45.34,14.1,15.52,39.55,30.83,42.29,45.53,4.63,7.65,5.24,432.53,4
Gaturro77,888 Poker,70568,27.04,18.75,10.11,0.5,3.82,51.86,27.2,43.86,14.8,12.93,37.25,35.02,37.84,54.97,13.83,10.29,-6.85,9408.27,10
Headscutter,888 Poker,70285,19.58,13.8,6.03,0.85,2.84,51.47,31.35,40.73,20.47,12.08,26.81,40.64,27.73,51.61,5.41,3.65,-17.76,5005.06,1
klassik007,888 Poker,69716,25.87,17.36,10.83,0.05,6.38,50.73,27.99,44.38,14.18,14.12,37.91,33.79,36.35,45.47,9.84,8.68,-8.31,3333.7,0
killerqueen3,888 Poker,69445,27.36,15.84,13.89,0.05,3.91,26.08,32.45,41.87,15.86,17.02,32.75,34.38,29.79,53.48,0.46,5.03,-4.94,-339.69,7
ProFisherman,888 Poker,69233,35.32,18.61,22.77,7.04,4.51,44.75,29.67,36.63,14.59,16.24,30.0,39.17,37.56,57.77,-9.13,-5.96,-14.87,-5775.46,6
Davferca,888 Poker,69214,22.96,13.84,8.12,1.93,3.18,38.38,30.99,38.22,17.93,13.08,26.89,42.1,32.15,54.41,1.66,2.19,-16.72,1490.76,1
Peedro90,888 Poker,68332,21.97,13.82,7.31,0.11,3.46,53.53,26.53,37.9,15.71,11.85,30.79,41.65,32.14,58.65,6.56,4.45,-18.55,3365.51,16
jhonyfonseKA,888 Poker,67310,29.5,20.52,10.77,0.39,6.41,48.08,26.34,42.05,13.49,13.26,36.16,37.09,38.37,54.05,9.39,5.37,-5.91,5126.42,5
Belamian,888 Poker,67075,26.65,17.14,10.95,0.25,4.69,43.36,28.61,43.19,15.94,13.0,36.7,34.36,43.27,58.56,12.22,6.42,-14.43,6970.34,10
IClickUBrick,888 Poker,66870,24.37,15.56,10.18,0.04,3.58,45.2,26.74,40.34,16.31,11.2,32.55,39.94,35.21,55.42,12.44,7.63,-17.64,6412.12,10
LucaDoncic,888 Poker,66682,23.76,17.03,6.09,0.27,6.41,56.92,24.15,46.54,13.64,10.4,38.66,37.31,41.22,56.87,5.96,5.74,-10.18,2912.62,3
BigFish20,888 Poker,66242,23.89,16.68,6.45,0.24,5.0,50.88,24.83,42.82,14.41,10.49,33.01,42.09,37.11,63.98,7.49,10.05,-12.62,3546.55,16
Jonnyszz,888 Poker,65716,25.1,18.43,6.86,0.26,5.57,40.15,31.48,48.16,16.43,15.12,38.08,30.37,35.38,42.27,6.42,5.91,-3.38,5726.75,19
MAKKAPAKKK,888 Poker,65392,25.45,17.42,9.63,0.33,6.56,36.45,24.38,43.72,13.15,11.64,37.14,38.07,42.59,61.1,3.47,1.88,-5.62,1194.04,3
kosmow1,888 Poker,65132,21.84,13.94,8.69,0.46,4.17,48.05,25.97,38.11,15.54,11.41,31.11,41.93,32.0,59.39,2.05,2.68,-18.17,1527.12,16
Eiffel,888 Poker,65070,20.5,15.68,5.47,0.44,3.05,60.93,26.35,41.15,15.54,11.35,32.38,40.73,34.63,60.78,3.18,2.55,-15.8,1053.7,16
roincen,888 Poker,64668,25.75,17.42,10.12,0.31,3.71,52.3,28.05,43.23,15.79,12.08,36.54,35.59,32.73,51.91,7.44,7.1,-11.24,4742.23,10
kluivert99,888 Poker,64421,22.27,15.6,7.82,0.13,3.65,54.84,28.0,42.89,17.0,11.98,32.79,38.23,37.13,47.91,6.71,3.42,-13.84,4480.07,7
TLOU999,888 Poker,64409,27.58,20.21,7.28,1.25,4.78,52.66,26.47,42.25,14.04,12.31,36.5,37.14,44.07,51.57,10.49,9.84,-10.86,5752.66,5
oLamArkusHo,888 Poker,63774,23.39,16.1,8.67,0.08,3.82,54.44,25.08,36.57,15.65,10.24,28.96,45.15,36.62,63.53,3.19,0.91,-17.88,3116.36,16
Protego,888 Poker,63655,27.87,19.59,8.3,0.07,4.91,69.75,22.52,43.03,12.65,10.14,38.17,39.04,51.29,65.02,8.38,9.75,-15.0,4642.55,3
kodel,888 Poker,62747,19.05,12.81,5.81,0.12,2.86,38.48,26.71,35.97,18.54,11.34,25.75,44.37,29.27,55.92,11.07,4.29,-18.56,9040.23,1
Noodeloo,888 Poker,62673,35.82,23.88,10.11,1.93,11.74,23.14,33.87,46.6,16.86,17.65,37.02,28.47,46.04,39.29,3.72,6.35,4.73,-630.73,9
javascma,888 Poker,62404,22.12,15.78,5.53,0.08,5.03,52.5,24.66,45.82,14.91,10.41,39.28,35.41,40.77,57.82,5.91,4.2,-11.44,3206.52,10
yDiamond,888 Poker,62146,24.15,17.02,7.2,0.07,4.79,69.11,26.34,43.59,15.43,11.73,36.14,36.7,38.48,62.43,6.9,5.04,-15.53,3928.54,10
ghopz477,888 Poker,61816,26.55,19.16,6.76,0.26,7.93,58.25,24.28,41.27,14.02,10.33,35.56,40.1,39.3,66.32,9.5,5.04,-17.61,6764.6,3
Sahana14,888 Poker,61027,21.67,17.44,4.15,0.13,4.34,44.35,28.57,46.17,16.52,12.91,35.78,34.78,38.43,49.47,2.72,3.35,-7.88,1794.23,7
MonkeyGamble,888 Poker,61021,27.25,19.47,8.53,0.31,6.66,54.39,23.48,44.6,11.98,10.91,41.23,35.89,44.71,62.44,6.53,6.21,-12.17,2641.59,3
pablogs_rio,888 Poker,60704,23.65,17.51,6.14,0.03,5.91,56.52,26.67,45.8,13.75,12.58,39.65,34.03,33.08,58.3,8.7,7.85,-9.5,3656.31,0
bocadiMANDI,888 Poker,60694,28.19,11.0,20.38,3.73,2.59,26.11,31.45,37.36,14.45,17.87,35.4,32.28,54.95,42.43,-1.39,-1.34,-8.89,-572.51,11
Playercv777,888 Poker,60477,24.42,16.57,8.96,0.03,4.46,51.99,29.64,47.05,16.0,15.42,39.13,29.45,42.04,41.39,8.27,7.38,-0.9,3338.91,0
Marcothx,888 Poker,60253,27.64,20.85,10.45,0.61,5.12,46.69,31.26,47.43,17.24,13.17,35.53,34.05,39.54,55.52,4.72,7.15,-10.99,2512.91,5
Aabramo7,888 Poker,59905,27.79,19.84,8.91,0.17,4.42,51.23,26.04,40.07,15.24,11.09,33.16,40.52,27.28,60.29,10.42,9.52,-15.69,5463.18,10
R0mix,888 Poker,59660,27.83,20.64,7.6,0.08,7.26,68.41,23.4,46.8,12.43,11.47,41.35,34.75,43.74,50.85,3.97,5.92,-11.59,2496.44,8
NarDeKk,888 Poker,59582,25.67,19.68,6.87,0.04,6.08,62.66,22.8,49.26,12.2,10.33,45.94,31.54,36.82,68.52,12.44,7.53,-11.6,7995.66,3
Taraskis,888 Poker,59170,20.68,14.49,5.61,0.3,5.19,55.06,25.33,41.28,13.99,11.55,37.37,37.09,36.49,61.85,9.43,0.08,-16.42,5105.89,10
tavaresdemel,888 Poker,59056,23.71,16.47,8.98,0.06,5.48,45.38,28.46,44.36,14.61,13.61,35.74,36.04,40.81,52.86,3.29,1.95,-13.24,585.2,10
PavloH,888 Poker,58816,24.71,17.83,7.83,0.21,6.54,44.43,26.91,41.22,15.26,12.52,34.56,37.66,37.99,56.17,9.28,4.21,-13.4,2861.96,10
Elche55,888 Poker,58293,31.14,17.29,18.25,3.54,2.82,26.5,28.46,42.28,13.67,15.08,38.55,32.7,46.57,53.33,7.4,1.62,2.85,2460.62,11
R.parreira08,888 Poker,58228,20.7,14.64,6.23,0.35,4.15,48.36,29.1,43.74,15.57,13.95,35.76,34.71,39.61,45.44,8.14,4.54,-9.38,4968.31,7
Chamuskas,888 Poker,58207,21.26,15.49,8.9,0.16,3.48,44.86,29.5,40.87,15.92,13.09,32.54,38.45,35.64,57.33,0.07,-0.6,-14.19,266.45,10
gmamede99,888 Poker,58004,24.24,17.13,8.11,0.17,5.19,61.54,25.85,41.22,15.75,10.61,32.24,41.4,36.11,64.82,2.29,1.56,-17.53,2464.17,16
RandyMarshh,888 Poker,57881,24.67,18.79,6.73,0.18,7.88,42.31,29.24,49.56,14.15,15.63,41.51,28.71,36.62,46.64,8.85,8.77,1.81,6182.84,4
crespo34991,888 Poker,57749,30.96,21.36,9.75,0.15,6.78,62.63,25.81,47.73,12.53,13.64,42.05,31.78,48.44,60.73,10.7,8.22,-6.11,5682.93,8
Ove_Pipcorn,888 Poker,57366,19.2,14.24,5.33,0.54,5.43,48.09,25.11,42.46,15.03,10.57,33.51,40.89,30.45,65.37,1.33,2.58,-11.65,824.03,16
rfedins888,888 Poker,57023,25.32,18.77,6.98,0.09,6.8,59.4,22.54,43.76,13.23,9.99,38.14,38.64,46.68,69.43,8.86,6.75,-13.31,4275.04,3
hcmarcello,888 Poker,56452,27.5,20.21,5.95,0.07,6.84,59.28,27.96,43.97,15.67,13.43,35.28,35.63,37.66,55.88,12.49,8.54,-10.85,6855.34,5
tipsy1312,888 Poker,56111,22.25,13.83,8.5,0.23,4.61,33.92,29.48,37.46,17.82,14.16,29.18,38.84,36.68,47.46,0.45,0.27,-21.38,-1360.72,7
Omargus,888 Poker,56092,33.68,9.54,20.6,12.39,2.28,13.11,27.02,31.49,15.0,13.12,25.08,46.8,32.22,66.41,-8.31,-4.73,-36.8,-4090.21,17
MILKEVICH88,888 Poker,55971,28.45,19.72,8.72,0.72,6.37,58.76,21.96,42.13,13.21,8.78,36.6,41.42,39.06,72.33,7.68,7.46,-20.93,4582.36,3
upursfish,888 Poker,55920,11.69,4.99,3.88,7.54,0.29,18.18,17.97,29.02,10.2,8.79,29.11,51.9,49.57,75.21,-2.51,-6.32,-19.01,-154.05,17
SHARAon,888 Poker,55784,24.25,17.62,7.33,0.06,5.29,62.04,22.23,42.01,12.63,10.33,38.64,38.4,45.59,68.22,8.37,3.64,-18.47,5264.67,3
VPR001,888 Poker,55747,23.28,12.46,12.36,4.77,2.56,32.47,26.78,40.19,14.56,12.83,34.32,38.3,43.42,56.81,-2.16,-1.65,-18.97,-553.33,18
goduco,888 Poker,55484,21.85,15.8,6.49,0.2,4.26,36.07,33.69,42.09,17.96,15.39,32.52,34.13,22.98,54.58,2.56,3.28,-11.48,-908.75,7
vinidesouza,888 Poker,55351,28.58,21.2,7.39,0.08,7.92,55.37,23.28,45.48,11.76,10.77,40.09,37.39,39.41,67.11,11.08,6.11,-8.36,4399.15,3
gbdias,888 Poker,55292,25.99,17.15,8.98,0.99,5.07,45.59,28.36,43.4,15.14,12.85,36.69,35.32,40.04,51.62,4.08,2.99,-9.19,2930.58,10
LeoOkagawa,888 Poker,55209,21.99,16.65,4.59,0.03,3.31,60.47,25.08,46.22,12.73,11.49,39.96,35.81,44.05,53.04,5.2,4.22,-8.47,3464.34,3
ismael.silva,888 Poker,55203,26.37,16.85,14.08,0.28,2.99,24.55,29.7,43.43,14.69,16.19,40.84,28.28,60.06,31.96,8.48,7.78,1.53,5805.66,11
niilasson,888 Poker,55046,22.48,16.29,5.71,0.25,5.24,51.94,24.74,45.29,14.47,11.16,36.82,37.55,43.54,62.95,4.87,1.85,-8.54,3181.24,10
Datalore88,888 Poker,54557,27.76,19.98,8.41,0.56,4.55,49.22,27.26,49.24,13.71,13.63,43.21,29.44,50.39,43.9,8.55,7.74,0.57,2938.68,0
Markhovic,888 Poker,54390,21.79,16.18,5.94,0.06,5.65,51.09,27.29,45.49,13.83,13.56,38.66,33.95,43.27,52.34,5.3,4.48,-8.2,1508.55,0
ViniTorneri,888 Poker,54380,24.85,17.86,5.64,0.43,5.71,51.18,28.94,44.03,16.16,12.08,34.33,37.43,32.08,57.08,10.03,6.61,-15.03,3704.5,10
AlexAnyKing,888 Poker,54187,23.96,16.09,7.85,0.11,5.18,45.63,27.86,41.02,16.99,12.61,32.11,38.29,35.65,42.11,6.76,1.5,-9.02,2834.78,7
F.domingos,888 Poker,54032,29.37,19.87,11.35,0.46,6.27,63.76,26.59,45.41,13.24,12.79,39.79,34.18,44.44,54.13,10.97,11.48,-5.68,3310.17,5
melongarcia,888 Poker,53793,26.37,19.76,6.76,0.48,7.75,57.65,25.09,47.8,12.9,12.48,41.04,33.58,44.93,54.47,1.07,2.49,-8.26,-382.35,8
Rushe1998,888 Poker,53733,24.72,17.58,6.33,0.1,6.72,53.75,24.23,45.36,13.65,10.19,38.28,37.88,40.99,67.93,13.51,6.38,-15.05,9536.6,3
TKluger,888 Poker,53537,23.47,11.42,14.99,2.74,2.95,24.64,30.52,43.74,17.68,15.25,37.33,29.74,42.21,50.3,1.3,2.84,-13.5,1272.91,18
dagueme,888 Poker,53464,23.99,15.79,8.42,0.2,6.65,54.81,26.2,42.03,15.37,11.68,34.2,38.74,38.39,54.14,6.88,4.77,-19.52,2881.43,10
nico_alcorta,888 Poker,53394,23.77,16.74,6.89,0.14,5.71,47.95,22.73,45.75,12.14,11.12,41.06,35.68,47.33,62.62,12.58,7.36,-8.83,4488.92,3
RamirezZ18,888 Poker,53211,27.66,15.75,16.65,3.31,4.38,44.63,25.84,37.97,14.22,12.25,34.64,38.88,43.99,63.55,12.04,4.5,-20.54,6509.13,10
FraerVV29,888 Poker,53208,30.21,21.38,8.41,0.14,7.4,53.96,25.32,44.19,13.61,12.01,37.91,36.46,40.19,65.46,14.4,12.89,-7.91,6164.01,5
knoxville710,888 Poker,52975,20.18,14.72,9.56,0.3,4.88,52.78,27.91,37.98,17.72,12.21,27.65,42.43,22.47,58.78,2.72,-0.01,-23.67,840.12,1
Genie88,888 Poker,52725,26.97,15.76,15.55,0.27,3.57,42.66,27.06,35.96,15.29,12.3,27.79,44.63,44.07,70.12,-1.11,-0.82,-17.47,-2432.58,16
ZeiKo,888 Poker,52528,21.11,13.36,8.31,0.02,5.3,33.89,29.07,38.27,15.54,14.61,31.88,37.98,43.88,48.77,8.16,5.61,-13.1,4545.72,7
BigZ1999,888 Poker,52257,20.18,15.28,5.48,0.06,4.59,48.29,28.1,44.09,15.1,13.81,35.22,35.87,40.49,47.97,4.78,2.8,-10.56,4269.25,7
Squadup902,888 Poker,52236,30.3,14.9,21.39,5.25,4.84,24.23,28.52,36.74,15.38,13.58,30.88,40.16,42.43,59.53,0.15,-1.87,-20.36,-2097.7,6
L.Constantin,888 Poker,52122,22.74,15.61,6.78,0.31,3.82,47.36,24.03,39.17,14.4,10.58,30.75,44.27,36.16,64.69,3.47,4.04,-14.82,630.81,16
refujesus83,888 Poker,52044,17.05,12.65,5.1,0.17,3.64,54.46,26.34,43.21,16.67,10.78,35.28,37.27,43.03,54.48,8.94,5.1,-13.83,5379.36,16
thurmota,888 Poker,51997,22.37,16.2,8.18,0.1,5.32,57.41,25.88,49.1,13.77,11.86,41.07,33.3,49.22,53.39,5.92,5.53,-9.63,3060.34,0
jejetoga45,888 Poker,51947,26.01,17.95,8.66,1.37,6.17,58.45,25.17,44.62,14.65,11.16,37.34,36.84,39.13,56.64,9.89,7.25,-11.99,4173.42,3
KellerA,888 Poker,51932,25.38,16.79,8.59,0.61,5.48,54.0,25.87,41.44,16.09,11.72,32.95,39.24,37.26,53.56,12.43,6.37,-13.54,6365.72,10
RafaelDAHORA,888 Poker,51873,23.4,18.1,5.55,0.31,3.54,54.19,27.2,44.71,14.19,12.5,37.25,36.06,40.69,56.67,4.12,4.01,-10.8,3209.89,10
d1mark,888 Poker,51625,25.61,17.81,7.23,0.09,4.73,63.03,23.72,41.03,13.91,10.58,37.74,37.78,40.26,59.54,13.29,6.24,-20.11,6620.28,3
Walbrasiil,888 Poker,51413,24.92,17.54,6.5,0.11,6.33,48.76,29.3,44.5,14.7,15.42,38.47,31.4,41.05,44.75,6.34,3.31,-2.53,2866.63,0
ItchyCr4bs,888 Poker,51322,19.25,9.95,11.75,3.4,2.17,35.36,29.52,35.33,19.78,12.07,26.53,41.61,38.43,49.14,2.88,2.15,-23.2,1546.78,1
Real_roxi,888 Poker,51265,24.58,6.66,15.23,15.57,1.37,23.56,24.19,37.44,13.47,11.07,33.94,41.52,45.01,64.45,2.69,-0.62,-21.9,1791.78,13
frado82,888 Poker,51254,36.43,20.92,20.75,1.18,5.51,34.89,29.9,43.25,15.48,15.37,35.06,34.09,37.76,58.19,-0.61,-0.8,-9.18,-170.98,6
Vsekaknado,888 Poker,51107,26.9,19.72,7.21,0.17,6.77,59.28,23.51,46.59,13.98,11.2,39.64,35.17,44.83,56.52,13.42,10.45,-9.38,5870.56,3
jokeerr66,888 Poker,51092,26.27,19.58,8.29,0.05,6.29,60.11,25.04,46.71,13.25,11.8,42.87,32.08,38.72,56.45,7.75,11.6,-8.85,4669.28,3
MaverickUA,888 Poker,50560,30.29,14.58,26.01,0.6,1.59,46.11,28.67,36.07,16.45,13.72,32.09,37.73,35.12,50.66,3.56,4.08,-19.61,1055.82,7
3scapeM4trix,888 Poker,50501,22.71,14.03,13.17,0.19,3.29,57.88,25.87,34.43,17.91,9.83,23.51,48.75,38.7,65.19,10.78,3.2,-26.61,4872.34,1
