Player,Site,Hands,VPIP,PFR,CC,Limp nSB,3Bet nAI,F3Bet,WTSD no AI%,WWSF no AI,WS HU,LS HU,WN HU,LN HU,Bet R HU,Fold to R Bet HU,All-In Adj BB/100,EV -60bb,NonSD,BB Won,Cluster
Easier_2_run,888 Poker,8390,25.81,18.3,6.51,0.05,4.23,48.7,29.12,42.63,16.37,14.1,33.21,36.32,33.12,60.24,-1.98,3.06,-17.04,-285.12,10
mvinilopes,888 Poker,8389,28.77,19.65,10.81,0.37,6.79,50.0,29.46,40.17,14.45,14.72,37.32,33.51,25.99,44.9,-6.66,2.02,-2.72,-1168.66,5
brunnoans,888 Poker,8386,25.55,17.42,9.16,0.13,5.6,48.51,31.98,47.0,14.69,16.67,36.67,31.98,41.49,52.85,8.7,8.01,-5.31,444.66,0
zipperb,888 Poker,8386,27.95,18.45,10.52,0.31,5.85,48.92,29.83,45.23,17.77,14.99,35.22,32.01,39.23,51.03,18.27,19.24,-8.48,990.62,5
Bernd0407,888 Poker,8386,17.15,5.67,9.83,6.3,1.2,1.75,32.96,39.01,20.33,13.88,25.79,40.0,50.72,20.43,-2.35,-4.68,-20.94,-741.17,14
Poking_Fun,888 Poker,8382,24.5,17.66,6.98,0.11,5.28,48.4,27.18,43.47,13.25,14.04,36.03,36.69,46.55,53.15,0.26,9.38,-6.92,-57.23,0
MaverickRO9,888 Poker,8377,24.59,13.23,11.56,0.85,2.91,35.11,30.6,40.85,15.58,16.91,33.83,33.68,39.86,48.18,6.33,6.02,-5.77,18.79,7
GrindTT,888 Poker,8369,23.06,15.41,9.72,0.23,4.82,36.84,30.98,39.79,20.17,12.3,27.61,39.91,31.23,58.52,14.94,6.73,-12.16,1946.68,1
Luba_Lieb,888 Poker,8368,24.52,14.85,10.83,0.06,2.86,54.2,26.47,37.41,14.14,14.44,30.08,41.35,21.1,58.06,2.3,2.45,-15.73,-338.06,16
AARDAD15,888 Poker,8363,27.76,6.09,21.05,21.63,3.42,0.0,31.24,45.72,15.39,14.35,42.59,27.66,71.43,37.5,19.06,12.64,-4.89,1581.7,13
Ruinaldo,888 Poker,8357,22.83,15.49,8.12,0.16,5.18,40.91,33.45,45.99,17.8,14.32,34.27,33.6,31.4,41.67,-0.37,5.8,-6.38,260.04,7
thiagofs1808,888 Poker,8355,27.7,19.13,8.53,0.25,9.57,43.6,25.18,50.66,12.38,12.59,44.35,30.68,56.78,47.89,15.17,9.71,8.96,690.42,8
Maldovan14,888 Poker,8351,23.53,11.4,14.34,0.62,1.89,56.38,21.44,35.82,13.55,7.91,35.31,43.23,47.91,53.85,0.3,1.38,-28.28,112.66,16
britadance,888 Poker,8351,24.46,17.52,6.29,0.03,4.97,54.89,29.26,43.59,17.48,11.52,33.6,37.4,33.58,48.15,13.99,15.78,-12.74,526.37,10
